species,wavelength_air_nm,A_ki_s_1,acc_A,E_i_cm1,E_k_cm1,g_i,g_k,lower_term,upper_term,transition,source,notes
H I,656.279,4.4101e+07,A+,82259.158,97492.319,8,18,2p,3d,Balmer alpha,NIST ASD (Wiese 2009),summed manifold; n=2 -> n=3
H I,486.135,8.4193e+06,A+,82259.158,102823.853,8,32,2p,4d,Balmer beta,NIST ASD (Wiese 2009),summed manifold; n=2 -> n=4
H I,434.047,2.5304e+06,A+,82259.158,105291.629,8,50,2p,5d,Balmer gamma,NIST ASD (Wiese 2009),summed manifold; n=2 -> n=5
H I,410.174,9.7320e+05,A+,82259.158,106632.142,8,72,2p,6d,Balmer delta,NIST ASD (Wiese 2009),summed manifold; n=2 -> n=6
H I,397.007,4.1280e+05,A,82259.158,107440.443,8,98,2p,7d,Balmer epsilon,NIST ASD (Wiese 2009),summed manifold; n=2 -> n=7
He I,388.8648,9.4750e+06,B,159855.974,185564.561,3,9,2s 3S,3p 3P*,He I 388.9,NIST ASD,
He I,447.1479,2.4584e+07,B,169086.943,191444.490,9,15,2p 3P*,4d 3D,He I 447.1,NIST ASD,
He I,492.1931,1.9863e+07,B+,171134.897,191492.711,3,5,2p 1P*,4d 1D,He I 492.2,NIST ASD,
He I,501.5678,1.3373e+07,B,166277.546,186209.471,1,3,2s 1S,3p 1P*,He I 501.6,NIST ASD,
He I,587.5621,7.0697e+07,A,169086.943,186101.671,9,15,2p 3P*,3d 3D,D3 helium line,NIST ASD,strong triplet 587.56
He I,667.8151,6.3702e+07,A,171134.897,186104.967,3,5,2p 1P*,3d 1D,He I 667.8,NIST ASD,
He I,706.5188,2.7848e+07,A,169086.943,183236.79,9,3,2p 3P*,3s 3S,He I 706.5,NIST ASD,
He I,728.1349,1.8290e+07,B,171134.897,184864.821,3,1,2p 1P*,3s 1S,He I 728.1,NIST ASD,
Ar I,696.5431,6.39e+06,B+,93750.5978,108722.6194,5,3,4s[3/2]*,4p[1/2],Ar I 696.5,NIST ASD,
Ar I,706.7218,3.80e+06,B+,93143.7600,107289.7001,3,3,4s[3/2]*,4p[3/2],Ar I 706.7,NIST ASD,
Ar I,714.7042,6.25e+05,B,93750.5978,107774.0810,5,3,4s[3/2]*,4p[3/2],Ar I 714.7,NIST ASD,
Ar I,727.2936,1.83e+06,B+,93750.5978,107496.4166,5,3,4s[3/2]*,4p[3/2],Ar I 727.3,NIST ASD,
Ar I,738.3980,8.47e+06,B+,93143.7600,106237.5518,3,5,4s[3/2]*,4p[5/2],Ar I 738.4,NIST ASD,
Ar I,750.3869,4.45e+07,A,95399.8276,108722.6194,1,3,4s'[1/2]*,4p'[1/2],Ar I 750.4,NIST ASD,strong
Ar I,751.4652,4.02e+07,A,94553.6652,107868.6201,3,1,4s[3/2]*,4p'[1/2],Ar I 751.5,NIST ASD,
Ar I,763.5106,2.45e+07,A,93143.7600,106237.5518,3,5,4s[3/2]*,4p[5/2],Ar I 763.5,NIST ASD,strong
Ar I,772.3761,5.18e+06,B+,93143.7600,106087.2598,3,3,4s[3/2]*,4p[3/2],Ar I 772.4,NIST ASD,
Ar I,794.8176,1.86e+07,B+,93143.7600,105617.2700,3,5,4s[3/2]*,4p[5/2],Ar I 794.8,NIST ASD,
Ar I,800.6157,4.90e+06,B+,93143.7600,105617.2700,3,5,4s[3/2]*,4p[5/2],Ar I 800.6,NIST ASD,
Ar I,801.4786,9.28e+06,B+,93750.5978,106237.5518,5,3,4s[3/2]*,4p[5/2],Ar I 801.5,NIST ASD,
Ar I,810.3693,2.50e+07,A,93750.5978,106087.2598,5,3,4s[3/2]*,4p[3/2],Ar I 810.4,NIST ASD,
Ar I,811.5311,3.31e+07,A,93143.7600,105617.2700,3,5,4s[3/2]*,4p[5/2],Ar I 811.5,NIST ASD,very strong
Ar I,826.4522,1.53e+07,A,94553.6652,106087.2598,3,3,4s[3/2]*,4p[3/2],Ar I 826.5,NIST ASD,
Ar I,840.8210,1.05e+07,B+,94553.6652,106087.2598,3,3,4s[3/2]*,4p[3/2],Ar I 840.8,NIST ASD,
Ar I,842.4648,2.15e+07,A,94553.6652,106087.2598,3,3,4s[3/2]*,4p[3/2],Ar I 842.5,NIST ASD,
Ar I,852.1442,1.34e+07,B+,94553.6652,106087.2598,3,3,4s[3/2]*,4p[3/2],Ar I 852.1,NIST ASD,
Ar I,866.7944,2.43e+06,B,94553.6652,106087.2598,3,3,4s[3/2]*,4p[3/2],Ar I 866.8,NIST ASD,
Ar I,912.2967,1.89e+07,A,95399.8276,108722.6194,1,3,4s'[1/2]*,4p'[1/2],Ar I 912.3,NIST ASD,
Ar I,922.4499,5.03e+06,B+,93143.7600,104102.0990,3,3,4s[3/2]*,4p[3/2],Ar I 922.4,NIST ASD,
Ar II,480.6020,7.80e+07,B,134242.730,155043.166,4,4,4s 4P,4p 4P*,Ar II 480.6,NIST ASD,close to H-beta
Ar II,487.9864,8.23e+07,B,138243.640,158730.302,6,8,4s 4P,4p 4D*,Ar II 488.0,NIST ASD,close to H-beta
Ar II,488.9042,5.27e+07,B,134242.730,154677.290,4,2,4s 4P,4p 4P*,Ar II 488.9,NIST ASD,
O I,777.1944,3.69e+07,A,73768.20,86631.454,7,7,3s 5S*,3p 5P,O I 777 triplet,NIST ASD,strong O triplet (first component)
O I,777.4166,3.69e+07,A,73768.20,86627.778,7,5,3s 5S*,3p 5P,O I 777 triplet,NIST ASD,strong O triplet
O I,777.5388,3.69e+07,A,73768.20,86625.757,7,3,3s 5S*,3p 5P,O I 777 triplet,NIST ASD,strong O triplet
O I,844.6359,3.22e+07,A,76794.978,88631.146,5,7,3s 3S*,3p 3P,O I 844 triplet,NIST ASD,strong O triplet
O I,615.668,7.46e+06,B+,86631.454,102908.397,7,9,3p 5P,3d 5D*,O I 615.7,NIST ASD,
O I,645.598,5.92e+06,B+,86631.454,102116.703,7,7,3p 5P,3d 5D*,O I 645.6,NIST ASD,
O I,725.452,1.84e+06,B,88631.146,102408.510,7,7,3p 3P,3d 3D*,O I 725.5,NIST ASD,
O II,374.9485,4.39e+07,B,184051.32,210711.74,4,6,2p3 4S*,3p 4P,O II 374.9,NIST ASD,
O II,375.467,4.59e+07,B,184051.32,210676.43,4,4,2p3 4S*,3p 4P,O II 375.5,NIST ASD,
N I,742.364,2.83e+07,B,83284.07,96750.840,4,2,3s 4P,3p 4S*,N I 742.4 triplet,NIST ASD,
N I,744.229,1.82e+07,B,83317.83,96750.840,2,2,3s 4P,3p 4S*,N I 744.2 triplet,NIST ASD,
N I,746.831,1.96e+07,B,83364.62,96750.840,6,4,3s 4P,3p 4S*,N I 746.8 triplet,NIST ASD,
N I,818.487,2.21e+07,B,83284.07,95493.69,4,6,3s 4P,3p 4P*,N I 818.5,NIST ASD,
N I,821.634,2.51e+07,B,83284.07,95475.31,4,4,3s 4P,3p 4P*,N I 821.6,NIST ASD,
N I,868.340,2.53e+07,B,83284.07,94793.49,4,6,3s 4P,3p 4D*,N I 868.3,NIST ASD,
N I,939.279,2.69e+07,B,83284.07,93917.55,4,4,3s 4P,3p 4D*,N I 939.3,NIST ASD,
N I,491.491,1.40e+05,C,86220.51,106557.85,4,4,3s 2P,3p 2D*,N I 491.5,NIST ASD,
N II,500.5152,1.16e+08,B,148908.59,168892.40,3,5,3p 3P*,3d 3D,N II 500.5,NIST ASD,
H I,1875.13,5.5751e+05,A+,97492.319,102823.853,18,32,3d,4d,Paschen alpha,NIST ASD,IR
