species,wavelength_air_nm,A_ki_s_1,acc_A,E_i_cm1,E_k_cm1,g_i,g_k,lower_term,upper_term,transition,source,notes,nist_wavelength_source,wavenumber_cm1,relative_intensity,transition_type,tp_ref,line_ref
Ar I,320.037,,,,,,,,,,NIST ASD live refresh,wavelength=obs_wl_air(nm); line_ref=L2131,obs_wl_air(nm),31237.4,8.0,,,L2131
Ar I,331.934,,,,,,,,,,NIST ASD live refresh,wavelength=obs_wl_air(nm); line_ref=L3512,obs_wl_air(nm),30117.8,7.0,,,L3512
Ar I,337.347,,,,,,,,,,NIST ASD live refresh,wavelength=obs_wl_air(nm); line_ref=L3512,obs_wl_air(nm),29634.6,7.0,,,L3512
Ar I,339.373,,,,,,,,,,NIST ASD live refresh,wavelength=obs_wl_air(nm); line_ref=L3512,obs_wl_air(nm),29457.6,7.0,,,L3512
Ar I,340.61804,390000.0,D,95399.8276,124749.805,3.0,1.0,3s2.3p5.(2P*<1/2>).4s 2[1/2]* J=1,3s2.3p5.(2P*<1/2>).7p 2[1/2] J=0,3s2.3p5.(2P*<1/2>).4s 2[1/2]* J=1 -> 3s2.3p5.(2P*<1/2>).7p 2[1/2] J=0,NIST ASD live refresh,wavelength=ritz_wl_air(nm); tp_ref=T1086n,ritz_wl_air(nm),29349.977,,,T1086n,
Ar I,346.107,67000.0,D,93750.5978,122635.054,3.0,5.0,3s2.3p5.(2P*<3/2>).4s 2[3/2]* J=1,3s2.3p5.(2P*<1/2>).6p 2[3/2] J=2,3s2.3p5.(2P*<3/2>).4s 2[3/2]* J=1 -> 3s2.3p5.(2P*<1/2>).6p 2[3/2] J=2,NIST ASD live refresh,wavelength=obs_wl_air(nm); tp_ref=T1086n; line_ref=L3512,obs_wl_air(nm),28884.5,7.0,,T1086n,L3512
Ar I,355.4306,270000.0,D,93143.76,121270.617,5.0,5.0,3s2.3p5.(2P*<3/2>).4s 2[3/2]* J=2,3s2.3p5.(2P*<3/2>).6p 2[3/2] J=2,3s2.3p5.(2P*<3/2>).4s 2[3/2]* J=2 -> 3s2.3p5.(2P*<3/2>).6p 2[3/2] J=2,NIST ASD live refresh,wavelength=obs_wl_air(nm); tp_ref=T1086n; line_ref=L2634,obs_wl_air(nm),28126.85,7.0,,T1086n,L2634
Ar I,356.32859,120000.0,D,94553.6652,122609.637,1.0,3.0,3s2.3p5.(2P*<1/2>).4s 2[1/2]* J=0,3s2.3p5.(2P*<1/2>).6p 2[3/2] J=1,3s2.3p5.(2P*<1/2>).4s 2[1/2]* J=0 -> 3s2.3p5.(2P*<1/2>).6p 2[3/2] J=1,NIST ASD live refresh,wavelength=ritz_wl_air(nm); tp_ref=T1086n,ritz_wl_air(nm),28055.972,,,T1086n,
Ar I,356.7656,110000.0,D,93143.76,121165.367,5.0,7.0,3s2.3p5.(2P*<3/2>).4s 2[3/2]* J=2,3s2.3p5.(2P*<3/2>).6p 2[5/2] J=3,3s2.3p5.(2P*<3/2>).4s 2[3/2]* J=2 -> 3s2.3p5.(2P*<3/2>).6p 2[5/2] J=3,NIST ASD live refresh,wavelength=ritz_wl_air(nm); tp_ref=T1086n,ritz_wl_air(nm),28021.607,,,T1086n,
Ar I,357.22953,510000.0,D,95399.8276,123385.044,3.0,1.0,3s2.3p5.(2P*<1/2>).4s 2[1/2]* J=1,3s2.3p5.(2P*<3/2>).7p 2[1/2] J=0,3s2.3p5.(2P*<1/2>).4s 2[1/2]* J=1 -> 3s2.3p5.(2P*<3/2>).7p 2[1/2] J=0,NIST ASD live refresh,wavelength=ritz_wl_air(nm); tp_ref=T1086n,ritz_wl_air(nm),27985.216,,,T1086n,
Ar I,360.6522,760000.0,D,93750.5978,121470.238,3.0,1.0,3s2.3p5.(2P*<3/2>).4s 2[3/2]* J=1,3s2.3p5.(2P*<3/2>).6p 2[1/2] J=0,3s2.3p5.(2P*<3/2>).4s 2[3/2]* J=1 -> 3s2.3p5.(2P*<3/2>).6p 2[1/2] J=0,NIST ASD live refresh,wavelength=obs_wl_air(nm); tp_ref=T1086n; line_ref=L2634,obs_wl_air(nm),27719.64,7.0,,T1086n,L2634
