wavelength_nm,energy_upper_cm1,strength,v_upper,v_lower,j_upper,branch,label
334.72,91000,0.22,1,0,16,P,N2_CB_DEMO_334.72
335.18,91400,0.35,1,0,18,Q,N2_CB_DEMO_335.18
335.86,92000,0.55,1,0,20,R,N2_CB_DEMO_335.86
336.42,92650,0.80,0,0,22,P,N2_CB_DEMO_336.42
337.10,93300,1.00,0,0,24,Q,N2_CB_DEMO_337.10
337.62,94000,0.76,0,0,26,R,N2_CB_DEMO_337.62
338.18,94800,0.48,0,0,28,Q,N2_CB_DEMO_338.18
338.72,95700,0.28,0,0,30,P,N2_CB_DEMO_338.72
356.85,93300,0.70,0,1,24,Q,N2_CB_DEMO_356.85
357.69,94000,0.52,0,1,26,R,N2_CB_DEMO_357.69
380.49,93300,0.42,0,2,24,Q,N2_CB_DEMO_380.49
381.05,94000,0.30,0,2,26,R,N2_CB_DEMO_381.05

